,Molecule-Batch ID,SMDC_ID_Lot,name,collection,plate,well
0,AVI-0001816-001,SMDC-916848-1,1,SMDC Monophore,SMDC-MPHORE-384-1-02,A03
1,AVI-0001687-001,SMDC-916928-1,81,SMDC Monophore,SMDC-MPHORE-384-1-02,A04
2,AVI-0001656-001,SMDC-916849-1,2,SMDC Monophore,SMDC-MPHORE-384-1-02,A05
3,AVI-0001682-001,SMDC-916929-1,82,SMDC Monophore,SMDC-MPHORE-384-1-02,A06
4,AVI-0001524-001,SMDC-916850-1,3,SMDC Monophore,SMDC-MPHORE-384-1-02,A07
5,AVI-0001663-001,SMDC-916930-1,83,SMDC Monophore,SMDC-MPHORE-384-1-02,A08
6,AVI-0001745-001,SMDC-916851-1,4,SMDC Monophore,SMDC-MPHORE-384-1-02,A09
7,AVI-0001512-001,SMDC-916931-1,84,SMDC Monophore,SMDC-MPHORE-384-1-02,A10
8,AVI-0001603-001,SMDC-916852-1,5,SMDC Monophore,SMDC-MPHORE-384-1-02,A11
9,AVI-0001535-001,SMDC-916932-1,85,SMDC Monophore,SMDC-MPHORE-384-1-02,A12
10,AVI-0001540-001,SMDC-916853-1,6,SMDC Monophore,SMDC-MPHORE-384-1-02,A13
11,AVI-0001768-001,SMDC-916933-1,86,SMDC Monophore,SMDC-MPHORE-384-1-02,A14
12,AVI-0001608-001,SMDC-916854-1,7,SMDC Monophore,SMDC-MPHORE-384-1-02,A15
13,AVI-0001581-001,SMDC-916934-1,87,SMDC Monophore,SMDC-MPHORE-384-1-02,A16
14,AVI-0001590-001,SMDC-916855-1,8,SMDC Monophore,SMDC-MPHORE-384-1-02,A17
15,AVI-0001681-001,SMDC-916935-1,88,SMDC Monophore,SMDC-MPHORE-384-1-02,A18
16,AVI-0001749-001,SMDC-916856-1,9,SMDC Monophore,SMDC-MPHORE-384-1-02,A19
17,AVI-0001520-001,SMDC-916936-1,89,SMDC Monophore,SMDC-MPHORE-384-1-02,A20
18,AVI-0001591-001,SMDC-916857-1,10,SMDC Monophore,SMDC-MPHORE-384-1-02,A21
19,AVI-0001554-001,SMDC-916937-1,90,SMDC Monophore,SMDC-MPHORE-384-1-02,A22
20,AVI-0001605-001,SMDC-917007-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B03
21,AVI-0001561-001,SMDC-917087-1,241,SMDC Monophore,SMDC-MPHORE-384-1-02,B04
22,AVI-0001576-001,SMDC-917008-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B05
23,AVI-0001528-001,SMDC-917088-1,242,SMDC Monophore,SMDC-MPHORE-384-1-02,B06
24,AVI-0001562-001,SMDC-917009-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B07
25,AVI-0001688-001,SMDC-917089-1,243,SMDC Monophore,SMDC-MPHORE-384-1-02,B08
26,AVI-0001827-001,SMDC-917010-1,164,SMDC Monophore,SMDC-MPHORE-384-1-02,B09
27,AVI-0001567-001,SMDC-917090-1,244,SMDC Monophore,SMDC-MPHORE-384-1-02,B10
28,AVI-0001771-001,SMDC-917011-1,165,SMDC Monophore,SMDC-MPHORE-384-1-02,B11
29,AVI-0001766-001,SMDC-917091-1,245,SMDC Monophore,SMDC-MPHORE-384-1-02,B12
30,AVI-0001683-001,SMDC-917012-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B13
31,AVI-0001723-001,SMDC-917092-1,246,SMDC Monophore,SMDC-MPHORE-384-1-02,B14
32,AVI-0001781-001,SMDC-917013-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B15
33,AVI-0001659-001,SMDC-917093-1,247,SMDC Monophore,SMDC-MPHORE-384-1-02,B16
34,AVI-0001660-001,SMDC-917014-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B17
35,AVI-0001801-001,SMDC-917094-1,248,SMDC Monophore,SMDC-MPHORE-384-1-02,B18
36,AVI-0001748-001,SMDC-917015-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B19
37,AVI-0001604-001,SMDC-917095-1,249,SMDC Monophore,SMDC-MPHORE-384-1-02,B20
38,AVI-0001613-001,SMDC-917016-2,,SMDC Monophore,SMDC-MPHORE-384-1-02,B21
39,AVI-0001798-001,SMDC-917096-1,250,SMDC Monophore,SMDC-MPHORE-384-1-02,B22
40,AVI-0001640-001,SMDC-916858-1,11,SMDC Monophore,SMDC-MPHORE-384-1-02,C03
41,AVI-0001563-001,SMDC-916938-1,91,SMDC Monophore,SMDC-MPHORE-384-1-02,C04
42,AVI-0001519-001,SMDC-916859-1,12,SMDC Monophore,SMDC-MPHORE-384-1-02,C05
43,AVI-0001679-001,SMDC-916939-1,92,SMDC Monophore,SMDC-MPHORE-384-1-02,C06
44,AVI-0001518-001,SMDC-916860-1,13,SMDC Monophore,SMDC-MPHORE-384-1-02,C07
45,AVI-0001614-001,SMDC-916940-1,93,SMDC Monophore,SMDC-MPHORE-384-1-02,C08
46,AVI-0001606-001,SMDC-916861-1,14,SMDC Monophore,SMDC-MPHORE-384-1-02,C09
