,,,,,,,,,,,,,assay_1,assay_2
Compound,Alias,SMILES,Lot #,Lot Alias,Salt,Solvate,Vendor,PAINS,Bruns-Watson Demerit Score,Assay Count,Plate,Well,percentlabeled,percentlabeled
917949,,CN(C)CCSSCCNC(=O)C1CCN(CC1)C(=O)C(C)(C)Oc2ccc(Cl)cc2,1,1185,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,N11,,64.6
917007,,CN(C)CCSSCCC(=O)Nc1cc(Cl)ccc1O,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,B03,,58.9
917276,,CNc1ccccc1C(=O)N2CCC(CC2)C(=O)NCCSSCCN(C)C,1,431,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,G04,,57.5
917030,,CN(C)CCSSCCC(=O)Nc1ccc(F)c(C)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F09,,53.2
917020,,CN(C)CCSSCCC(=O)Nc1ccc(F)c(c1)C#N,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,D09,,51.9
916856,,CN(C)CCSSCCC(=O)N1CCC(O)(CC1)c2ccc(Cl)c(c2)C(F)(F)F,1,9,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,A19,,51.5
917755,,CN(C)CCSSCCNC(=O)[C@H]1CCCN(C1)C(=O)C(C)(C)Oc2ccc3ccccc3c2,1,921,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,J04,,50.4
917886,,COc1ccc(OCC(=O)NCCSSCCN(C)C)cc1,1,1107,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,M16,,49.8
916851,,CN(C)CCSSCCC(=O)N1CCC(O)(CC1)c2cccc(c2)C(F)(F)F,1,4,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,A09,,49.6
917013,,CN(C)CCSSCCC(=O)Nc1ccc(C)c(Cl)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,B15,,45.9
917033,,CN(C)CCSSCCC(=O)Nc1ccc(Cl)c(C)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F15,,44.9
917601,,CN(C)CCSSCCNC(=O)c1ccc(NS(=O)(=O)C)cc1,2,1081,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,I04,,44.8
917386,,CN(C)CCSSCCNC(=O)[C@@H]1CCCN(C1)C(=O)c2ccc(CO)cc2,1,541,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,N03,,42.4
917215,,CN(C)CCSSCCNC(=O)[C@H]1CCCN(C1)C(=O)c2ccccc2Nc3ccccc3,1,369,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,I19,,39.3
917607,,CN(C)CCSSCCNC(=O)c1ccc2c(C)cc(C)c(O)c2n1,2,1087,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,I16,,39.1
917746,,CN(C)CCSSCCNC(=O)[C@H]1CCCN(C1)C(=O)c2ccccc2Oc3ccccc3,1,912,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,H06,,39
994780,,C[C@H](CSSCCN(C)C)C(=O)N1CCC[C@H]1C(=O)NCc2cccc(c2)N3CCCC3,1,DT95-captopril-A10,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,J03,,39
917041,,CN(C)CCSSCCNC(=O)Nc1ccc(cc1)C#N,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H11,,38.3
917660,,CN(C)CCSSCCCNC(=O)CNS(=O)(=O)c1ccc(C)cc1,1,854,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,L09,,38
917178,,CN(C)CCSSCCCNC(=O)c1cc2ccccc2cc1O,1,332,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,C05,,37.8
917533,,COc1ccc(cc1C(=O)NCCSSCCN(C)C)S(=O)(=O)C,1,688,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,I17,,37.5
994828,,C[C@H](CSSCCN(C)C)C(=O)N1CCC[C@H]1C(=O)NCc2nccs2,1,DT95-captopril-G12,TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,J15,,36.9
917213,,CN(C)CCSSCCCNC(=O)c1ccc(F)c(F)c1,1,367,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,I15,,36.8
993919,,CN(C)CCSSCCNC(=O)[C@H]1CN(C[C@@H]1C(F)(F)F)S(=O)(=O)c2cc(Cl)c(O)c(Cl)c2,1,DT95-498-5(S),TFA,None,,0,>100,1,SMDC-MPHORE-384-6-01-ECO1,O16,,36.4
917032,,CN(C)CCSSCCC(=O)Nc1ccc2[nH]c(C)cc2c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F13,,36.2
917095,,CN(C)CCSSCCNC(=O)c1ccc(O)cc1,2,710,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,M21,,36.1
917459,,COC(=O)[C@H](CSSCCN(C)C)NC(=O)c1cccnc1OC,1,614,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,L10,,35.6
966837,,CCC1CCCN(C1)C(=O)Nc2cccc(c2)c3cn(CCCSSCCN(C)C)nn3,1,,TFA,None,,0,>100,1,SMDC-MPHORE-384-5-02-ECO1,J07,,35.3
917368,,CN(C)CCSSCCNC(=O)[C@@H]1CCCN(C1)C(=O)[C@@H](O)c2ccccc2,1,523,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,J07,,34.7
917999,,COc1ccc2cc(ccc2c1)[C@@H](C)C(=O)N3CCC(CC3)C(=O)NCCSSCCN(C)C,1,1237,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,H16,,34.3
917066,,CN(C)CCSSCCNC(=O)Nc1cccc(NS(=O)(=O)C)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,L21,,34.3
917285,,CN(C)CCSSCCNC(=O)C1CCN(CC1)C(=O)c2ccccc2Nc3ccccc3,1,440,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,G22,,34.2
966854,,CN(C)CCSSCCn1cc(CNC(=O)c2[nH]nc3ccccc23)nn1,1,,TFA,None,,0,>100,1,SMDC-MPHORE-384-5-02-ECO1,N09,,34
916992,,NCCSSCCC(=O)NCc1cccc(c1F)C(F)(F)F,1,146,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,M14,,33.8
917988,,CC(C)c1cc(C(C)C)c(O)c(c1)C(=O)N2CCC(CC2)C(=O)NCCSSCCN(C)C,1,1226,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,F14,,33.8
917034,,CN(C)CCSSCCNC(=O)Nc1ccc(Cl)cc1O,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,F17,,33.7
917175,,CN(C)CCSSCCCNC(=O)c1ccc(cc1)N2N=C(C)CC2=O,1,329,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,A19,,33.2
917883,,CN(C)CCSSCCNC(=O)COc1ccc(O)cc1,1,1104,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,M10,,33.2
916995,,COc1c(C)cc(cc1C)C(=O)NCCSSCCN,1,149,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,M20,,33
917571,,CN(C)CCSSCCNC(=O)Cc1ccc(O)c(Br)c1,3,,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,A08,,32.8
917106,,COc1cc(ccc1O)C(=O)NCCSSCCN(C)C,1,260,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,D22,,32.7
917835,,C[C@@H](NC(=O)OCc1ccccc1)C(=O)N2CCC(CC2)C(=O)NCCSSCCN(C)C,1,1005,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,I11,,32.5
917549,,CN(C)CCSSCCNC(=O)c1cc(N)cc(c1)C(F)(F)F,1,704,TFA,None,,0,>100,1,SMDC-MPHORE-384-3-02-ECO1,M09,,32
917426,,CN(C)CCSSCCNC(=O)C(O)c1ccc(cc1)C(F)(F)F,1,581,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,F04,,31.9
917197,,CN(C)CCSSCCCNC(=O)c1ccc(F)cc1F,1,351,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,G03,,31.8
917139,,CN(C)CCSSCCNC(=O)c1ccc(O)c(C)c1,1,293,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,L08,,31.6
917046,,CN(C)CCSSCCNC(=O)Nc1ccc(C)c(F)c1,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H21,,31.6
917152,,CN(C)CCSSCCCNC(=O)c1c(F)cccc1F,1,306,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,N14,,30.9
917081,,CN(C)CCSSCCNC(=O)c1cc(Cl)ccc1O,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,P11,,30.5
917118,,CN(C)CCSSCCNC(=O)c1ccc(cc1)S(=O)(=O)N,1,272,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H06,,30.2
917122,,CSc1ncccc1C(=O)NCCSSCCN(C)C,1,276,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H14,,30.1
917184,,CN(C)CCSSCCCNC(=O)Cc1ccc(O)cc1,1,338,TFA,None,,0,>100,1,SMDC-MPHORE-384-2-02-ECO1,C17,,30.1
917955,,CN(C)CCSSCCNC(=O)C1CCN(CC1)C(=O)COc2cccc(Cl)c2,1,1191,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,P03,,30.1
917095,,CN(C)CCSSCCNC(=O)c1ccc(O)cc1,1,249,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,B20,,30
917914,,CN(C)CCSSCCNC(=O)c1ccc2cc(O)ccc2c1,1,1141,TFA,None,,0,>100,1,SMDC-MPHORE-384-4-02-ECO1,F03,,30
917120,,CN(C)CCSSCCNC(=O)Cc1ccc(F)cc1F,1,274,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H10,,29.7
917038,,CN(C)CCSSCCNC(=O)Nc1cc(F)ccc1C,2,,TFA,None,,0,>100,1,SMDC-MPHORE-384-1-02-ECO1,H05,,29.7
